contents,labels
喝 ！ 最 简单 表达方式 喝 ， 喝多 还 喝 ， 不醉 不 ！,11
不 秃子 搞醉 不归家,11
老铁 生日快乐 ， 祝 早日 帅过 吴彦祖 ， 富过 王思聪 ， 忘 兄弟 。,0
杨玉梅 小 仙女 生日快乐 ， 永远 20 岁 ， 爱,0
希望 都 开心 ， 记得 在乎 ， 希望 越来越 好 ， 爱 哒 ！,3
唱 太 好听 ， 棒棒 哒 ！ call call ！,0
鑫 生日快乐,0
小俊 ， 祝 生日快乐 ， 永远 健康,0
祝温平 李 志强 百年好合,9
还 KTV,11
【 包厢 】 ： 表叔 祝你快乐 不止 生日,0
天 ， 唱歌 好好 听 ， 小 粉丝 ！ 哒 爱 ！,11
【 210 包厢 】 ： 祝 瞳哥 生日快乐 ， 性福 高潮,0
狗哥 感情 天 … … 友谊 万岁,4
兄弟 齐心 ， 齐力 断金 ！,4
遇见 福分 ， 爱上你 福气 ， 希望 看 明白 心意 ， 辉哥 ， 我爱你 。,3
老铁 生日快乐 ， 祝 早日 帅过 吴彦祖 ， 富过 王思聪 ， 忘 兄弟 。,0
祝阿陂 生日快乐 ！,0
唱 好 ！ 赏酒 两杯 ！,11
我爱你 ， 刚 哥哥 ， 愿 永远 都 好 ， 平安 ， 健康 ， 开心 ， 快乐 ！,3
祝汪 总 生日快乐 ， 永远 十八 一枝花 ， 开心 。,0
我爱你 这份 感情 当做 赌注 ， 身上 堵 ， 这辈子 都 输 。,3
祝 魏爷 生日快乐,0
出狱 后 改变,11
希望 都 开心 ， 记得 在乎 ， 希望 越来越 好 ， 爱 哒 ！,3
祝 丫丫 生日快乐 ， 天天 十八 ， 月 月 好运 ， 年 年 发财 。,0
祝 小两口 ， 新婚燕尔 ， 喜成 连理 ， 举岸 齐眉 ， 龙腾 凤翔 ， 天赐良缘 ， 百年好合 ， 生 一对 龙凤胎,9
祝好 姐妹 生日快乐 ， 天天 十八 ， 月 月 好运 ， 年 年 发财 。,0
祝 美女 瑶瑶 生日快乐,0
！ 原唱 还 好听 ， 再 一首 ， 再 一首 ！,11
【 111 包厢 】 ： 祝梁 总监 ， 生日快乐 。 英俊潇洒 ， 花见 花开 ， 车见车 爆胎 。,0
祝 兄弟 生日快乐 ， 愿 兄弟 早日 住 豪宅 ， 开 跑车 ， 迎娶 白富 美 ！,0
最 亲爱 龙哥 ， 提前 祝 龙哥 生日快乐 ！,0
【 611 包厢 】 ： 依依 ， 希望 都 开心 ， 记得 在乎 ， 希望 越来越 好 ， 爱 哒 ！,3
老大 生日快乐 ， 三哥 ， 四哥 玩 开心 ， 陈总 ， 步步高升 ！,0
祝 兄弟 生日快乐 ， 愿 兄弟 早日 住 豪宅 ， 开 跑车 ， 迎娶 白富 美 ！,0
【 包厢 】 ： 喝 ！ 最 简单 表达方式 喝 ， 喝多 还 喝 ， 不醉 不 ！,11
难听,11
祝萱 萱 生日快乐 ， 学习 ， 健康 快乐,0
祝妹 纸 生日快乐 ， 天天 十八 ， 月 月 好运 ， 年 年 发财 。,0
祝 刘超 不再 过节 ， 老大不小 ， 赶紧 创造 小超超,7
希望 友谊 天长地久 ， 一个 比早 死,4
喝 ！ 青岛 不倒 不 倒 ， 雪花 不飘 不 飘 ， 问 酒量 ， 请 看 大海 方向 。,11
祝 梅子 生日快乐 ， 永远 十八 一枝花 ， 开心 。,0
芯宝 唯一,3
斌 哥 ， 浩哥 ， 凯哥 ， 雨哥 ， 陈哥 ， 洋弟 ， 兄弟 一辈子,4
海卿 ， 生日快乐,0
【 218 包厢 】 ： 祝梁 小金 覃炳行 早生贵子 ， 天天 快乐,9
祝 妹子 生日快乐 ， 永远 十八 一枝花 ， 开心 。,0
唱 太 好听 ， 棒棒 哒 ！ call call ！,11
祝 ， 派对 星球 朱 董事长 杨 总 生意兴隆,2
祝 老姐 ， 李薇 ， 李宇 永远 十八岁 ， 天天 开兴 快乐 ， 越来越 美丽 ， 漂亮 ！ ！ ！ ！,0
【 316 包厢 】 ： 祝贺 牛哥 终于 毕业,1
孙玲玉 我爱你 我爱你 我爱你 我爱你 我爱你 我爱你 ， 强子 大哥 张 五刀,3
唱 漂亮,11
祝小 姐妹 生日快乐 ， 永远 年轻漂亮 ， 幸福 满满 。,0
宋建熊 ， 生日快乐,0
婉婷 生日快乐 希望 快乐 真的 快乐,0
祝 做 ， 天天 做 新郎 。 夜夜 换 新娘,11
加油 ！ 呢子,11
天 ， 唱歌 好好 听 ， 小 粉丝 ！ 哒 爱 ！,11
遇见 福分 ， 爱上你 福气 ， 希望 看 明白 心意 ， 我爱你 。,3
祝 蔡敬 生日快乐 ！,0
婆娘 ， 生日快乐 永远 十八岁,0
聂琴 永远 爱,3
虎哥 ， 虎嫂 ， 永结同心,9
真 睡 … …,11
一路 安好,11
祝 长命百岁 ， 福如东海 长流水 ， 寿比南山 不老松 ！,8
牛 逼 牛 逼,11
祝 雨舟 蛋品 有限公司 艳姐 生意兴隆 ， 财源 广进 ， 大卖,2
王君鹏 生日快乐,0
刘女士 生日快乐 年 年 今日 岁 岁 今朝,0
老婆 生日快乐 快乐 生日快乐 生日快乐,0
老 吴 今晚 打炮,11
婆娘 ， 生日快乐 永远 十八岁,0
王 哥哥 永远 哥哥,5
喝 ！ 最 简单 表达方式 喝 ， 喝多 还 喝 ， 不醉 不 ！,11
【 包厢 】 ： 表叔 祝你快乐 不止 生日,0
平 ， 遇见 福分 ， 爱上你 福气 ， 希望 看 明白 心意 ， 我爱你 。,3
阿鹏 小鸡鸡,11
喝 ！ 最 简单 表达方式 喝 ， 喝多 还 喝 ， 不醉 不 ！,11
生日快乐,0
嘿嘿 嘿嘿,11
遇见 福分 ， 爱上你 福气 ， 希望 看 明白 心意 ， 我爱你 。,3
仙女 周 ， 生日快乐 ！,0
茹姐 ， 爱,3
何先生 ， 生日快乐,0
卧槽 ， 无情 ， 好 残忍 … …,11
？ ！,11
兄弟 生日快乐,0
偷 兄弟 ， 满月 快乐 ！,10
喝 ！ 嗨 喽 ， 大 咖好 ， 我系 渣 渣 灰 ， 系 兄弟 喝 死 ， 里 。,11
哒,11
老婆 生日快乐 ！ 老公 祝 天天开心 ！ 永远 漂亮 ！,0
刘女士 生日快乐 年 年 今日 岁 岁 今朝,0
刘女士 生日快乐 年 年 今日 岁 岁 今朝,0
廖玺铭 30 生日快乐 ！,0
祝冷哥 生日快乐 ， 愿冷哥 早日 住 豪宅 ， 开 跑车 ， 迎娶 白富 美 ！,0
祝 兄弟 友谊 天长地久,4
祝 陈 总 2020 年 生意 红红火火 ！,2
祝 陈 总 2020 年 生意 红红火火 ！,2
兄弟 百年 ！ ！ ！,4
老铁 生日快乐,0
燕无歇,11
【 9188 包厢 】 ： 不瞒 说 ， 在座 都 渣 渣 ， 哥带 不动,11
【 A805 包厢 】 ： 珍惜,11
祝 妈妈 生日快乐 ， 永远 年轻 生活 幸福美满 ， 永远 爱,0
干 完,11
祝 大华 杨 总 ： 生日快乐 ！ 身体健康 ！ 生意兴隆 ！ 合 心 合意 。,0
生日快乐 ， 社会 大哥 ， 人狠话 不 ， 十年 后 还要 嗨 ！,0
龙哥 生日快乐 ！,0
老铁 生日快乐 ， 祝 早日 帅过 吴彦祖 ， 富过 王思聪 ， 忘 兄弟 。,0
祝 马帮 兄弟 玩 开心 ！ ！,4
祝好 姐妹 生日快乐 ， 天天 十八 ， 月 月 好运 ， 年 年 发财 。,0
喝 ！ 嗨 喽 ， 大 咖好 ， 我系 渣 渣 灰 ， 系 兄弟 喝 死 ， 里 。,11
小王 生日快乐,0
祝 : 况 总 生日快乐 ， 平安 喜乐 ， 得偿 所愿 ， 深情 不负 ！,0
希望 都 开心 ， 记得 在乎 ， 希望 越来越 好 ， 爱 哒 ！ （ 诺 ）,3
胖子 牛 逼 上 好 声音 冠军 可想而知,11
【 包厢 】 祝靓坤生 曰 快乐 ， 早日 脱单 ！ 年 年 今日 ， 岁 岁 今朝,0
祝 ： 玄老八 生日快乐 天天 快乐,0
生日 江江,0
妙,11
祝程店 一路 长红 ， 年头 红到 年 尾 ， 昆山 八幡 扛 把子,5
都 送祝福 ， ， 兄弟 喝 好开心,4
！ 原唱 还 好听 ， 再 一首 ， 再 一首 ！,11
侧 脸 杀 俘虏 心,3
【 包厢 】 ： 祝福 ： 张 香香 ， 刘远美 ， 许华梅 ， 三 姐妹 一辈子 幸福 开心 ！,4
【 108 包厢 】 ： 祝晓宇 曹睿 有情人终成眷属,9
祝 兄弟 生日快乐 ， 愿 兄弟 早日 住 豪宅 ， 开 跑车 ， 迎娶 白富 美 ！,0
盖 ， 安排 ，,11
3RsN1Lxatsn,11
希望 都 开心 ， 记得 在乎 ， 希望 越来越 好 ， 爱 哒 ！,3
祝 老弟 喜 贵子 。,10
祝 生日快乐 ， 永远 十八 一枝花 ， 开心 。,0
石家庄 兄弟姐妹 开心,11
祝贺 康 ， 早日 生二胎,10
孙儿 岳嵋 生日快乐,0
鹏鹏 生日快乐,0
喝 ！ 最 简单 表达方式 喝 ， 喝多 还 喝 ， 不醉 不 ！ 五刀 哥 ， 包间 兄弟 回一,4
生日快乐,0
喝 ！ 最 简单 表达方式 喝 ， 喝多 还 喝 ， 不醉 不 ！ 五刀 哥 ， 包间 兄弟 回一,4
生日快乐,0
喝 ！ 最 简单 表达方式 喝 ， 喝多 还 喝 ， 不醉 不 ！,11
杨芳 ， 生日快乐,0
郝芳 若麟 真牛 逼,11
提前 祝 花花 14 号 生日 快 ， 永远 漂亮 ， 可爱 ， 年轻 ， 永远 18 岁 ！,0
二妮 ， 儿子 生日快乐,0
送给 发哥 （ 肖国发 ） ， 迟来 祝福 ， 生日快乐 ！,0
祝 妹子 生日快乐 ， 永远 十八 一枝花 ， 开心 。,0
【 包厢 】 ： 祝建 老表 生日快乐 心想事成 ， 事事 顺利 ！,0
永远 不说 再见,11
生日快乐 ， 永远 18 岁 无忧无虑,0
祝 兄弟 开心 一辈子,4
祝程店 ： 生日快乐 岁 岁 今朝 ， 年 年 今日,0
好 难听,11
祝 爸爸妈妈 恩恩爱爱 健健康康 ！ 祝 两位 阿姨 永远 年轻漂亮 ！ 祝 在场 所有人 一路发 发发 ！ ！ ！ 爱 ~,6
【 总统 15 包厢 】 ： 祝 兄弟 生日快乐 ， 愿 兄弟 早日 住 豪宅 ， 开 跑车 ！,0
【 包厢 】 ： 811 祝 : 陈仿 生日快乐 ！ 感谢 一年 包容 陪伴 ！ 希望 岁月,0
希望 都 开心 ， 记得 在乎 ， 希望 越来越 好 ， 爱 哒 ！,3
兄弟 一辈子,4
祝张 总 生日快乐 妞越 泡 越 身体 倍 棒 一夜 七次 郎 ！ 加油 ( _ ),0
祝 好 兄弟 卢 弟妹 新婚 快乐 百年好合 白头偕老,9
祝来 星格纯 K 朋友 天天开心 ！,4
3RsN1Lxatsn,11
感谢 胜哥 今晚 骚气 演唱 ， 天上人间 已成 往事 ， 胜哥 骚声 永远 留在 山东 。 波昂 棒,4
唱 太 好听 ， 棒棒 哒 ！ call call ！,11
祝 李 总 ， 孙总 ， 王总 生意兴隆 ， 扬起 合作 帆 ， 走向 成功 明天 ！,2
茹姐 ， 爱,3
阿爸 心声,11
唱 太 好听 ， 棒棒 哒 ！ call call ！,11
茹姐 ， 爱,3
祝 兄弟 生日快乐 ， 愿 兄弟 早日 住 豪宅 ， 开 跑车 ， 迎娶 白富 美 ！,0
遇见 福分 ， 爱上你 福气 ， 希望 看 明白 心意 ， 我爱你 。,3
老铁 生日快乐 ， 祝 早日 帅过 吴彦祖 ， 富过 王思聪 ， 忘 兄弟 。 宴成,0
祝福 项城 魏 总 越来越 好 ！ 一切都是 安排 ！ 感谢 相遇 ！ 唱歌 喝酒 ！ ！,2
祝黔朋 醉酒 业 有限公司 生意兴隆 财源滚滚,2
霍弟 ， 大哥 祝 生日快乐,0
牛逼客 斯拉,11
祝梅 小 姐妹 生日快乐 ， 永远 年轻漂亮 ， 幸福 满满 。 诺兰 贝儿 ， 阳光 宝贝 ， 快乐 童年 ， 童装 大卖,0
"包容 、 理解 、 支持 , 全 我爱你",3
祝 小姐姐 生日快乐 ， 永远 年轻漂亮 ， 幸福 满满 。 年 年 今朝 岁 岁 都 18,0
！ 原唱 还 好听 ， 再 一首 ， 再 一首 ！,11
唱 太 好听 ， 棒棒 哒 ！ call call ！,11
孙儿 岳嵋 生日快乐 补办,0
派出所 门口 男人,11
老铁 生日快乐 ， 祝 早日 帅过 吴彦祖 ， 富过 王思聪 ， 忘 兄弟 。,0
翠花 ILOVEYOU,3
祝 兄弟 生日快乐 ， 愿 兄弟 早日 住 豪宅 ， 开 跑车 ， 迎娶 白富 美 ！,0
老婆 希望 往后 余生 心情 开朗 ， 老公 希望 开心 快乐 ， 风风雨雨 走 ， 真的 祝,6
祝豪哥 生日快乐 ， 越来越 帅 ！ ！ ！,0
祝创 生日快乐 永远 健康,0
宝哥 生日快乐 ！,0
大 蒙城 合肥 美希 整形医院 严总来 蒙城 视察工作,2
【 V09 包厢 】 ： 刘师 ， 歌声 好 ， 攒劲 ， 。,11
祝王雨 生日快乐 岁 岁 今朝 ！ ！ ！,0
海军 祝吻 得福 107 中餐厅 ， 生意 越来越 好 ， 蒸蒸日上 ， 祝王 总年 年 今日 ， 岁 岁 今朝 ！,2
【 K52 包厢 】 ： 喝 ！ 最 简单 表达方式 喝 ， 喝多 还 喝 ， 不醉 不 ！,11
中山 珠海 D 兄弟 光临 顺德 . … 兄弟 身体健康 ， 万事如意 … …,2
【 12 包厢 】 ： 祝朱 建军 新婚 快乐,9
大寿 快乐 一夜 暴富 社会 李,10
大寿 快乐 一夜 暴富 社会 李,10
爱 孙莲香,3
最美 熊,11
祝石 总 生意兴隆 . 笑 寒祝 。,2
【 108 包厢 】 ： 祝王熙 、 罗安瑾 、 王潇航 早日 找到 心仪 另一半,7
【 包厢 】 ： ！ 原唱 还 好听 ， 再 一首 ， 再 一首 ！,11
伟哥 ， 生日快乐 ， 这妹 纸 生日快乐,0
祝 李少 生日快乐 ， 愿 兄弟 早日 住 豪宅 ， 开 跑车 ， 迎娶 白富 美 ！ ，,0
兄弟 ， 生日快乐 ， 社会 大哥 ， 人狠话 不 ， 十年 后 还要 嗨 ！,0
尽情 玩 今晚 黄 公子 买单,11
兄弟 ， 生日快乐 ， 社会 大哥 ， 人狠话 不 ， 十年 后 还要 嗨 ！,0
希望 都 开心 ， 记得 在乎 ， 希望 越来越 好 ， 爱 哒 ！ 红云 宝贝,3
【 K10 包厢 】 ： 祝 友谊 长久 友谊 长久,4
玫瑰 姐 生日快乐 ， 永远 18,0
祝 业绩 达标 ， 事事如意 ， 奋斗 ， 兄弟 同心 ， 其利断金 ！ 祝福 ！,5
晚上 一个 找到,11
仙女 周 ， 生日快乐,0
大 宝贝 爸爸 永远 爱 愿 生活 开心 快乐 爱 爸爸,6
祝 小姐姐 生日快乐 ， 永远 年轻漂亮 ， 幸福 满满 。 年 年 今朝 岁 岁 都 18,0
祝 亲爱 娴 生日快乐 永远 青春 美丽,0
小林子 ！,11
阿乔 大叔 ， 爱 哒,3
【 K10 包厢 】 ： 祝贺 总 友谊 长久 友谊 长久,4
生日快乐,0
！ 原唱 还 好听 ， 再 一首 ， 再 一首 ！,11
牛 掰 牛 掰,11
生日 如期而至 ， 生日快乐,0
大佬 级别,11
永远 港湾 ， 永远 爱 。 祝您 笑口常开 ， 越活 越 年轻 ， 开开心心 ！,8
感谢 刘轶 总 骚气 歌声 ， 山东 带来 德 祝福 ， 感谢 刘轶 总 ， 骚骚骚,2
苗氏 集团 苗 总,2
表妹 歌儿 唱 太好了,6
祝 家 婷婷 生日快乐 天天开心 身体健康 暴富 幸福 ， 爱 闺蜜 阳阳,0
兄弟 ， 生日快乐 ， 社会 大哥 ， 人狠话 不 ， 十年 后 还要 嗨 ！,0
喝 ！ 青岛 不倒 不 倒 ， 雪花 不飘 不 飘 ， 问 酒量 ， 请 看 大海 方向 。,11
【 备用 包厢 】 ： 请 ， 真的 爱 ， 请 接受 送给 开心 快乐 。,3
哥哥 好,11
遇见 福分 ， 爱上你 福气 ， 希望 看 明白 心意 ， 我爱你 。,3
祝 兄弟 张海 生日快乐 ， 愿 兄弟 早日 住 豪宅 ， 开 跑车 ， 迎娶 白富 美 ！,0
遇见 福分 ， 爱上你 福气 ， 希望 看 明白 心意 ， 我爱你 。,3
大炮 生日快乐,0
祝 兄弟 生日快乐 ， 愿 兄弟 早日 住 豪宅 ， 开 跑车 ， 迎娶 白富 美 ！,0
天 ， 唱歌 好好 听 ， 小 粉丝 ！ 哒 爱 ！,11
【 K15 包厢 】 ： 喝 ！ 嗨 喽 ， 大 咖好 ， 我系 渣 渣 灰 ， 系 兄弟 喝 死 ， 里 。,11
喝 ！ 嗨 喽 ， 大 咖好 ， 我系 渣 渣 灰 ， 系 兄弟 喝 死 ， 里 。,11
祝若依 生日快乐 ！ 天天开心 ！ ！,0
祝 兄弟 张海 生日快乐 ， 愿 兄弟 早日 住 豪宅 ， 开 跑车 ， 迎娶 白富 美 ！,0
祝 周雨 绮 小姐 生日快乐 ， 永远 年轻漂亮 ， 幸福 满满 ！,0
喝醉 ？,11
遇见 福分 ， 爱上你 福气 ， 希望 看 明白 心意 ， 我爱你 。,3
生日快乐,0
祝辉哥 生日快乐 ， 愿 兄弟 身体健康 ， 早日 迎娶 女朋友,0
祝 兄弟 生日快乐 ， 愿 兄弟 早日 住 豪宅 ， 开 跑车 ， 迎娶 白富 美 ！,0
愿牛得彪 律师 长盛不衰 ！,11
祝肖泽仕 生日快乐 越长越 帅,0
唱 太 好听 ， 棒棒 哒 ！ call call ！,11
凯强 ， 生日快乐 ， 想 ？ 都 弟弟,0
天 ， 唱歌 好好 听 ， 小 粉丝 ！ 哒 爱 ！,11
祝 事业 长虹 ， 业绩 翻番 ， 荷包 满满 ， 未来 都 上 想要 日子 ！ 感谢 郭总郑 总 俞 总,5
兄弟 ， 生日快乐 ， 夜夜 高潮,0
老铁 生日快乐 ， 祝 早日 帅过 吴彦祖 ， 富过 王思聪 ， 忘 兄弟 。,0
奥雷,11
阳妹 ， 忘 烦恼 。 干 完,11
祝 老板 ， 生意兴隆 ， 一本万利 ， 飞黄腾达 ， 好事 ， 财源滚滚 ！,2
生日快乐 ， 永远 18,0
洋哥 生日快乐,0
【 v15 包厢 】 ： 生日快乐 舅妈,0
祝 两位 新人 早日 步入 婚姻 殿堂,3
肥轩 生日快乐,0
喝 ！ 青岛 不倒 不 倒 ， 雪花 不飘 不 飘 ， 问 酒量 ， 请 看 大海 方向 。,11
喝 ！ 最 简单 表达方式 喝 ， 喝多 还 喝 ， 不醉 不 ！,11
生日快乐 ， 永远 18 岁,0
老铁 生日快乐 ， 祝 早日 帅过 吴彦祖 ， 富过 王思聪 ， 忘 兄弟 。,0
希望 都 开心 ， 记得 在乎 ， 希望 越来越 好 ， 爱 哒 ！,3
易 比特 三周年 快乐 ！ 永无止境 ！ 乘风破浪 ， 再 斩 佳绩 ！,10
黄启万 遇见 福分 ， 爱上你 福气 ， 希望 看 明白 心意 ， 我爱你 。,3
祝华锡 兄弟 生意兴隆 财源 广进 ， 祝轩 哥 万事如意 ！,2
祝快 科技 业绩 长虹 ！ 祝快 科技 家 健康 快乐 ， 阖家幸福 ！,5
遇见 福分 ， 爱上你 福气 ， 希望 看 明白 心意 ， 我爱你 。,3
Happybirthday 刘女士,0
祝张 总 生日快乐 身体 倍 棒 一夜 七次 郎妞约 泡 约 ！,0
爱,3
小 老妹 ， 永远 坚强 后盾 ， 哒,11
喝 ！ 嗨 喽 ， 大 咖好 ， 我系 渣 渣 灰 ， 系 兄弟 喝 死 ， 里 。,11
美女 爱 一万年,3
宝贝 爱,3
祝 妹子 生日快乐 ， 永远 十八 一枝花 ， 开心 。,0
祝 老板 ， 生意兴隆 ， 一本万利 ， 飞黄腾达 ， 好事 ， 财源滚滚 ！,2
祝石 总 生意兴隆 ， 郝弟 恭祝,2
慕尔如星 ， 愿守心 一人 ， 天光 乍破 ， 暮 雪白 头 。,3
喝 ！ 最 简单 表达方式 喝 ， 喝多 还 喝 ， 不醉 不 ！,11
老铁 生日快乐 ， 祝 早日 帅过 吴彦祖 ， 富过 王思聪 ， 忘 兄弟 。,0
唱 太 好听 ， 棒棒 哒 ！ call call ！,11
日子,3
兄弟 ， 生日快乐 ， 社会 大哥 ， 人狠话 不 ， 十年 后 还要 嗨 ！,0
大宇 天天开心 生日快乐,0
祝 表哥 生日快乐 霸屏,0
至少 唱 走 5 婆娘,11
兄弟 ， 生日快乐 ， 社会 大哥 ， 人狠话 不 ， 十年 后 还要 嗨 ！,0
祝 生日快乐,0
春夏 美女 生日快乐 永远 富婆,0
老铁 生日快乐 ， 祝 早日 帅过 吴彦祖 ， 富过 王思聪 ， 忘 兄弟 。,0
祝小 姐妹 生日快乐 ， 永远 年轻漂亮 ， 幸福 满满 。,0
！ 原唱 还 好听 ， 再 一首 ， 再 一首 ！,11
祝星格 越来越 好 ！ 祝 兄弟 天长地久 ！,5
祝 生日快乐 哈哈哈,0
玲 美女 ， 生日 爆乐 ！ ！ ！,0
生日快乐,0
汤相金 我爱你 ， 爱,3
邓倩云 憨 憨,11
不醉 不,11
赵若彤 生日快乐 不 几岁 ！ 快,0
祝紫怡 妹子 生日快乐,0
兄弟 ， 生日快乐 ， 社会 大哥 ， 人狠话 不 ， 十年 后 还要 嗨 ！,0
感谢 钱 多多 终于 满 十八岁 生日快乐,0
祝 兄弟 生日快乐 ， 愿 兄弟 早日 住 豪宅 ， 开 跑车 ， 迎娶 白富 美 ！,0
永远 爱 。 祝您 笑口常开 ， 越活 越 年轻 ， 开开心心 ！ 生日快乐 ， 老妈 ！ ！ ！,0
生日快乐,0
生日快乐 ， 永远 18,0
喝 ！ 青岛 不倒 不 倒 ， 雪花 不飘 不 飘 ， 问 酒量 ， 请 看 大海 方向 。,11
慧姐 生日快乐 。 今晚 最红 系 。,0
世界 人生 才 活得 无限 精彩 ！ 今生 唯一 甘愿 付出,3
萌萌 生日快乐,0
生日快乐,0
祝 老板 生日快乐 ， 再 赚 二十个 亿,0
唱 太 好听 ， 棒棒 哒 ！ call call ！,11
易 比特 三周年 快乐 ！ 永无止境 ！ 乘风破浪 ， 再 斩 佳绩 ！ 希望 开心 快乐 ， 发财 ！,10
祝 姐姐 生日快乐,0
花 开 如意 富贵 吉祥 生日快乐 .,0
小莲祝 ： 梦晖 生日快乐,0
喝 ！ 最 简单 表达方式 喝 ， 喝多 还 喝 ， 不醉 不 ！,11
邓 伯伯 生日快乐 ！ 家庭幸福 ！,0
兄弟 ， 生日快乐 ， 社会 大哥 ， 人狠话 不 ， 十年 后 还要 嗨 ！,0
祝刚哥 生日快乐 ， 幸福 安康 ， 心想事成,0
祝谢 鹏飞 刘雨楠 百年好合 早生贵子,9
【 K21 包厢 】 ： 天 ， 唱歌 好好 听 ， 小 粉丝 ！ 哒 爱 ！,11
君住 长江 头 ， 我住 长江 尾 。 日日 思 君不见 君 ， 共饮 长江 水 。 我爱你,3
值此 幸福 时刻 来临 之际 欢声笑语 中 迎来 拼 点点 人生 中 一刻 祝 两位 新人 新婚 快乐 幸福 永久,9
未来 遥远 ， 成长 路上 ； 相逢 ， 永远 朋友 。 友谊 地久天长 ！,1
祝 妹子 生日快乐 ， 永远 十八 一枝花 ， 开心 。,0
祝 妈妈 生日快乐,0
祝 郑杰 ！ ！ ！ 生日快乐 ， 天天 十八 ， 月 月 好运 ， 年 年 发财 。,0
祝 文豪 兄弟 生日快乐 ， 愿 兄弟 早日 住 豪宅 ， 开 跑车 ， 迎娶 白富 美 ！,0
祝好 姐妹 生日快乐 ， 天天 十八 ， 月 月 好运 ， 年 年 发财 。,0
祝 霍弟 21 生日快乐 ， 单身 帅哥 相中 K023 包厢,0
单身 骄傲,7
大 猪蹄,11
美美 我爱你,3
生日快乐 ， 永远 年轻,0
祝好 姐妹 生日快乐 ， 天天 十八 ， 月 月 好运 ， 年 年 发财 。,0
祝愿 华总 事业 蒸蒸日上,2
喔 喔,11
芯宝 唯一,3
